transaction_id,merchant_id,merchant_name,category,amount,currency,status,timestamp,customer_id,region
TXN-202603-0001,MRC-2801,Shinjuku Gym,entertainment,8000.0,JPY,completed,2026-03-01T17:00:00Z,CUS-1187,tokyo
TXN-202603-0002,MRC-0831,Shinjuku Convenience,retail,420.0,JPY,completed,2026-03-01T07:30:28Z,CUS-3312,tokyo
TXN-202603-0003,MRC-1042,Tokyo Ramen House,food,2050.0,JPY,completed,2026-03-02T12:20:14Z,CUS-0512,tokyo
TXN-202603-0004,MRC-3301,Osaka Cinema,entertainment,2300.0,JPY,completed,2026-03-03T19:45:00Z,CUS-2844,osaka
TXN-202603-0005,MRC-0055,JR East,travel,820.0,JPY,completed,2026-03-04T07:55:33Z,CUS-4201,tokyo
TXN-202603-0006,MRC-2204,Osaka Sushi Bar,food,6100.0,JPY,completed,2026-03-04T13:10:52Z,CUS-0943,osaka
TXN-202603-0007,MRC-0612,Fukuoka Bookstore,retail,0.0,JPY,pending,2026-03-05T10:40:17Z,CUS-0761,fukuoka
TXN-202603-0008,MRC-1731,Nagoya Cafe,food,700.0,JPY,completed,2026-03-05T08:15:41Z,CUS-2987,nagoya
TXN-202603-0009,MRC-1903,Sapporo Department,retail,8400.0,JPY,completed,2026-03-06T13:25:55Z,CUS-1504,sapporo
TXN-202603-0010,MRC-2501,Tokyo Electric,utility,7880.0,JPY,completed,2026-03-07T09:00:00Z,CUS-2301,tokyo
TXN-202603-0011,MRC-0412,Ginza Restaurant,food,5500.0,JPY,completed,2026-03-08T20:05:22Z,CUS-0220,tokyo
TXN-202603-0012,MRC-2801,Shinjuku Gym,entertainment,8000.0,JPY,completed,2026-03-08T17:00:00Z,CUS-3801,tokyo
TXN-202603-0013,MRC-0278,Netflix Japan,entertainment,1490.0,JPY,completed,2026-03-13T00:00:00Z,CUS-1187,
TXN-202603-0014,MRC-0831,Shinjuku Convenience,retail,330.0,JPY,completed,2026-03-10T07:22:09Z,CUS-3312,tokyo
TXN-202603-0015,MRC-1042,Tokyo Ramen House,food,1780.0,JPY,completed,2026-03-11T12:48:33Z,CUS-0512,tokyo
TXN-202603-0016,MRC-3301,Osaka Cinema,entertainment,1900.0,JPY,completed,2026-03-12T20:15:00Z,CUS-2844,osaka
TXN-202603-0017,MRC-0055,JR East,travel,1640.0,JPY,completed,2026-03-13T08:00:44Z,CUS-4201,tokyo
TXN-202603-0018,MRC-2204,Osaka Sushi Bar,food,7200.0,JPY,completed,2026-03-14T13:30:18Z,CUS-0943,osaka
TXN-202603-0019,MRC-0612,Fukuoka Bookstore,retail,1650.0,JPY,completed,2026-03-15T10:15:29Z,CUS-0761,fukuoka
TXN-202603-0020,MRC-1731,Nagoya Cafe,food,490.0,JPY,completed,2026-03-16T09:00:55Z,CUS-2987,nagoya
TXN-202603-0021,MRC-1903,Sapporo Department,retail,5800.0,JPY,completed,2026-03-17T14:40:11Z,CUS-1504,sapporo
TXN-202603-0022,MRC-2501,Tokyo Electric,utility,8050.0,JPY,completed,2026-03-18T09:00:00Z,CUS-2301,tokyo
TXN-202603-0023,MRC-0412,Ginza Restaurant,food,6400.0,JPY,completed,2026-03-19T20:25:04Z,CUS-0220,tokyo
TXN-202603-0024,MRC-1042,Tokyo Ramen House,food,7.0,JPY,completed,2026-03-21T12:05:38Z,CUS-3801,tokyo
TXN-202603-0025,MRC-2801,Shinjuku Gym,entertainment,8000.0,JPY,completed,2026-03-22T17:00:00Z,CUS-1187,tokyo
TXN-202603-0026,MRC-0831,Shinjuku Convenience,retail,560.0,JPY,completed,2026-03-23T07:40:20Z,CUS-3312,tokyo
TXN-202603-0027,MRC-3301,Osaka Cinema,entertainment,2300.0,JPY,completed,2026-03-24T19:50:30Z,CUS-2844,osaka
TXN-202603-0028,MRC-0055,JR East,travel,820.0,JPY,completed,2026-03-25T08:08:17Z,CUS-4201,tokyo
TXN-202603-0029,MRC-2204,Osaka Sushi Bar,food,5300.0,JPY,completed,2026-03-26T13:20:44Z,CUS-0943,osaka
TXN-202603-0030,MRC-0612,Fukuoka Bookstore,retail,2200.0,JPY,completed,2026-03-28T10:55:02Z,CUS-0761,fukuoka
